åé,í¿ã‡éwêî
1,83
2,76.6
3,83.7
4,79.7
5,79.1
6,136.6
7,133.2
8,89.2
9,79.2
10,79.9
11,82.6
12,220.4
13,84.6
14,80.2
15,87.9
16,83.1
17,82.2
18,143.3
19,139.1
20,95.5
21,82.5
22,82.7
23,86.1
24,230.3
25,88.9
26,82.7
27,90.5
28,85.3
29,84.6
30,147.5
31,143.9
32,96
33,83.8
34,84.2
35,87.3
36,228.6
37,89.1
38,83.8
39,90.9
40,86.2
41,85.5
42,147.2
43,141.8
44,97.2
45,85.3
46,85.3
47,89.1
48,224.8
49,91.7
50,85
51,92
52,88
53,86.9
54,157.3
55,137.1
56,96.8
57,87.1
58,87.2
59,90.8
60,226.4
61,93.2
62,87
63,94
64,89.2
65,87.9
66,155.5
67,140.9
68,97.3
69,88.4
70,88.3
71,91.6
72,227.4
73,93.2
74,88.3
75,95.5
76,90.6
77,89.2
78,156.5
79,141.5
80,100.8
81,89.4
82,89.5
83,93.8
84,227.3
85,99.3
86,89.7
87,96.9
88,92.4
89,90.7
90,157.9
91,144.8
92,101.6
93,90.3
94,90.7
95,93.8
96,228.9
97,98.6
98,89.6
99,97.4
100,91.7
101,90.1
102,157.4
103,141
104,99.3
105,89.6
106,90.6
107,93.9
108,219.2
109,95.3
110,89.1
111,96.9
112,91.6
113,89.9
114,151.9
115,137.6
116,98.7
117,90
118,90.3
119,93.7
120,213.6
121,96.2
122,89.6
123,96
124,91.8
125,90.1
126,154.6
127,136.6
128,99.2
129,90.3
130,90.7
131,93.8
132,211.1
133,96.8
134,89
135,95.2
136,91.4
137,89.5
138,152.3
139,135.2
140,96.6
141,89
142,89.2
143,92.2
144,202.2
145,92.4
146,87.4
147,93.9
148,89.2
149,87.3
150,146.4
151,127.4
152,93.5
153,87.5
154,88.4
155,91
156,195.8
157,91.2
158,87.2
159,92.6
160,88.5
161,87.5
162,149.2
163,124.6
164,91.4
165,87.4
166,87.9
167,90.4
168,192.1
169,89.6
170,86.9
171,90
172,88.6
173,87.1
174,146.4
175,123.7
176,91.4
177,86.9
178,87.4
179,92.2
180,191.1
181,89.9
182,87
183,89.6
184,89.1
185,87.6
186,148.5
187,125.3
188,90.4
189,87.5
190,87.9
191,92.3
192,194.3
193,89.7
194,87.3
195,90
196,89.4
197,88
198,150
199,125.7
200,90.2
201,87.6
202,87.9
203,92.5
204,194
205,88.6
206,86.4
207,89.8
208,89.1
209,87.6
210,148.2
211,123.1
212,90.4
213,86.8
214,87.4
215,92.1
216,189.5
217,89.5
218,87.1
219,90.6
220,89.2
221,87.8
222,147.9
223,122.7
224,89.9
225,86.3
226,87
227,90.9
228,186.7
229,87.1
230,85
231,87.2
232,86.8
233,85.6
234,137.4
235,115.7
236,87.5
237,84.7
238,85.2
239,88.6
240,175.5
241,86.8
242,84.1
243,87.9
244,88
245,85.6
246,139.8
247,117.2
248,87.7
249,85.4
250,85.6
251,88.7
252,175.5
253,87
254,84.2
255,87.7
256,86.7
257,86.3
258,138.8
259,116.9
260,87.3
261,85
262,85.5
263,88.5
264,175.5
265,86
266,84.4
267,88.4
268,86.8
269,85.3
270,138
271,114.9
272,87.1
273,84.4
274,85
275,87.5
276,171.8
277,85.8
278,83.3
279,87.3
280,86.5
281,84.9
282,138.3
283,114.4
284,86
285,83.8
286,84.5
287,87.7
288,172.1
289,85.3
290,82.9
291,87.6
292,86.8
293,85.1
294,139.1
295,116.6
296,86.5
297,84.1
298,84.4
299,87.5
300,173.7
301,85.8
302,83
303,87.6
304,87.4
305,85.7
306,135.7
307,117.6
308,86.8
309,84.5
310,85
311,87.5
312,173.7
313,85.8
314,83.6
315,88.9
316,87.4
317,85.6
318,137.6
319,119
320,86.8
321,84.5
322,85.1
323,87.9
324,174.6
325,86.1
326,83.9
327,88.9
328,87.8
329,86.1
330,138.2
331,118.3
332,87.4
333,85.3
334,85.3
335,88.7
336,176.1
